Team,Average of home_team_pregame_rating_2018,Average of away_team_pregame_rating_2018,Average of home_team_score_2018,Average of away_team_score_2018,Average of home_team_postgame_rating_2018,Average of away_team_postgame_rating_2018,Home_Score_Away_Score_2018,Post_Home_Rating_Post_Away_Rating_2018,Pre_Home_Rating_Pre_Away_Rating_2018,Average of home_team_pregame_rating_2019,Average of away_team_pregame_rating_2019,Average of home_team_score_2019,Average of away_team_score_2019,Average of home_team_postgame_rating_2019,Average of away_team_postgame_rating_2019,Home_Score_Away_Score_2019,Post_Home_Rating_Post_Away_Rating_2019,Pre_Home_Rating_Pre_Away_Rating_2019,Average of home_team_pregame_rating_2020,Average of away_team_pregame_rating_2020,Average of home_team_score_2020,Average of away_team_score_2020,Average of home_team_postgame_rating_2020,Average of away_team_postgame_rating_2020,Home_Score_Away_Score_2020,Post_Home_Rating_Post_Away_Rating_2020,Pre_Home_Rating_Pre_Away_Rating_2020,Average of home_team_pregame_rating_2021,Average of away_team_pregame_rating_2021,Average of home_team_score_2021,Average of away_team_score_2021,Average of home_team_postgame_rating_2021,Average of away_team_postgame_rating_2021,Home_Score_Away_Score_2021,Post_Home_Rating_Post_Away_Rating_2021,Pre_Home_Rating_Pre_Away_Rating_2021
New Jersey Devils,1472.304989,1510.784393,3,2.76744186,1472.587101,1510.50228,1.084033614,0.974898959,0.974530182,1475.957022,1504.106901,2.87804878,2.780487805,1475.787835,1504.276088,1.035087719,0.981061819,0.981284655,1445.791436,1507.132334,3,3.352941176,1445.18838,1507.73539,0.894736842,0.958515924,0.959299594,1456.470216,1518.70121,2.321428571,3.5,1454.925645,1520.245782,0.663265306,0.957033173,0.959023544
New York Islanders,1502.710874,1500.39936,3.414634146,3.731707317,1501.703724,1501.40651,0.91503268,1.000197957,1.001540599,1513.128154,1507.958637,2.8,2.288888889,1513.24686,1507.83993,1.223300971,1.003585878,1.003428156,1532.919479,1514.247101,3.111111111,2.777777778,1532.9138,1514.25278,1.12,1.012323583,1.01233113,1543.596497,1524.302403,3.513513514,2.108108108,1545.108754,1522.790147,1.666666667,1.01465639,1.012657655
New York Rangers,1510.350553,1504.841314,3.073170732,3.097560976,1509.752144,1505.439722,0.992125984,1.00286456,1.00366101,1463.516813,1506.020218,2.829268293,2.853658537,1463.245387,1506.291644,0.991452991,0.971422362,0.971777666,1475.252218,1506.612929,3.351351351,3.27027027,1475.052828,1506.812318,1.024793388,0.97892273,0.979184626,1506.27481,1509.148266,3.428571429,2.821428571,1506.468999,1508.954076,1.215189874,0.998353113,0.998095975
Ottawa Senators,1483.023687,1504.978397,3.048780488,3.731707317,1481.814499,1506.187586,0.816993464,0.983818027,0.985411943,1445.811104,1510.998603,3.048780488,3.048780488,1445.792257,1511.01745,1,0.956833594,0.956858002,1438.613114,1501.892399,3.081081081,3.108108108,1438.717796,1501.787717,0.991304348,0.958003438,0.957866965,1430.685905,1511.029689,2.892857143,2.678571429,1431.443285,1510.272308,1.08,0.947804762,0.946828454
Philadelphia Flyers,1502.355279,1506.598653,2.977272727,3.136363636,1501.700664,1507.253268,0.949275362,0.996316078,0.997183474,1492.035822,1504.225406,2.951219512,3.292682927,1491.12781,1505.133417,0.896296296,0.990694774,0.991896438,1512.00565,1510.499307,3.255813953,2.325581395,1512.82967,1509.675287,1.4,1.002089445,1.000997248,1516.776233,1505.907569,3,3.428571429,1515.743269,1506.940533,0.875,1.005841462,1.007217351
Pittsburgh Penguins,1551.842829,1505.46856,3.574468085,2.680851064,1552.138688,1505.172701,1.333333333,1.031203055,1.030803877,1537.354696,1506.999054,3.186046512,3.069767442,1536.576504,1507.777246,1.037878788,1.019100473,1.020143106,1534.266771,1499.216092,3.459459459,2.594594595,1534.441262,1499.041602,1.333333333,1.023614862,1.023379337,1535.567364,1503.948936,3.516129032,2.258064516,1536.87429,1502.64201,1.557142857,1.022781394,1.021023605
San Jose Sharks,1526.663394,1503.118482,3.347826087,2.52173913,1526.758155,1503.02372,1.327586207,1.015791125,1.015664043,1536.859796,1508.60789,3.596153846,2.942307692,1536.87392,1508.593766,1.222222222,1.018746037,1.018727137,1492.625226,1504.722021,2.888888889,3.055555556,1491.933184,1505.414064,0.945454545,0.991045068,0.991960778,1462.613577,1507.179044,2.75,3.714285714,1461.646746,1508.145875,0.740384615,0.969168016,0.970431206
St. Louis Blues,1539.477892,1504.082236,2.804878049,2.536585366,1538.928549,1504.631579,1.105769231,1.022794264,1.023533059,1519.03816,1519.266439,3.12962963,3.018518519,1518.700337,1519.604262,1.036809816,0.999405158,0.999849744,1546.301972,1504.187867,3.175,2.65,1546.057208,1504.432631,1.198113208,1.027667957,1.027997902,1515.632596,1512.359472,2.966666667,3.2,1514.825179,1513.166889,0.927083333,1.001095907,1.00216425
Tampa Bay Lightning,1562.154643,1513.704799,3.509803922,2.960784314,1562.044282,1513.81516,1.185430464,1.03185932,1.032007459,1586.569827,1506.27853,4,2.604651163,1586.98475,1505.863607,1.535714286,1.05387018,1.053304416,1581.141988,1518.279081,3.5625,2.708333333,1581.054347,1518.366722,1.315384616,1.041286222,1.041404053,1583.735904,1506.461112,3.575,2.15,1584.473203,1505.723813,1.662790698,1.052300023,1.051295577
Toronto Maple Leafs,1523.028978,1504.169602,3.454545455,2.613636364,1523.588471,1503.610109,1.32173913,1.01328693,1.012538065,1548.382664,1506.592784,3.522727273,3.068181818,1547.740381,1507.235067,1.148148148,1.02687392,1.027738006,1526.10991,1507.768926,3.179487179,3.051282051,1525.621945,1508.256891,1.042016807,1.011513326,1.01216432,1537.29189,1490.150546,3.28125,2.625,1537.360276,1490.08216,1.25,1.03172853,1.03163529
Vancouver Canucks,1446.184554,1509.914689,2.902439024,3.414634146,1445.549451,1510.549792,0.85,0.956969084,0.957792228,1461.093245,1506.58682,2.975609756,3.073170732,1461.00881,1506.671255,0.968253968,0.96969316,0.969803549,1492.45447,1508.209608,3.488372093,2.76744186,1493.044381,1507.619697,1.260504202,0.990332233,0.989553748,1489.405919,1504.975784,2.821428571,3.107142857,1488.841542,1505.54016,0.908045977,0.988908554,0.989654408
Vegas Golden Knights,1532.887624,1510.747569,3.588235294,2.470588235,1533.653373,1509.981819,1.452380953,1.015676715,1.014655033,1536.367215,1504.357403,3.272727273,2.409090909,1536.481661,1504.242957,1.358490566,1.021431846,1.021278063,1526.303705,1508.617939,3.3125,2.75,1526.438121,1508.483524,1.204545455,1.011902415,1.011723158,1565.23996,1510.524645,3.421052632,2.210526316,1566.11794,1509.646664,1.547619048,1.037406949,1.036222722
Washington Capitals,1560.703603,1516.939142,3.403846154,2.557692308,1560.88051,1516.762235,1.330827068,1.02908714,1.028850505,1562.414653,1505.333337,3.444444444,2.688888889,1562.202045,1505.545946,1.280991735,1.037631597,1.037919386,1558.22797,1511.349081,3.216216216,3.216216216,1557.159466,1512.417584,1,1.029583022,1.031017909,1536.670261,1512.548635,3.032258065,2.870967742,1536.41816,1512.800736,1.056179775,1.015611722,1.01594767
Winnipeg Jets,1537.575907,1514.511786,3.7,2.42,1538.576534,1513.511159,1.52892562,1.016561077,1.01522875,1557.739208,1506.796372,3.568181818,2.886363636,1557.4136,1507.121979,1.236220473,1.03336931,1.033808706,1521.593574,1502.358596,2.820512821,2.794871795,1520.878344,1503.073825,1.009174312,1.011845406,1.012803187,1521.19424,1497.796581,2.84375,3,1520.283765,1498.707056,0.947916667,1.014396882,1.015621386
